Symbol,Strike,Expiry,Type,Last,Bid,Ask,Chg,PctChg,Vol,Open_Int,IV,Root,IsNonstandard,Underlying,Underlying_Price,Quote_Time
SPY171215C00010000,10.0,2017-12-15,call,197.5,183.2,185.76,0.0,0.00%,1,1,104.40%,SPY,False,SPY,193.94,2016-01-13
SPY171215P00010000,10.0,2017-12-15,put,0.03,0.01,0.09,0.0,0.00%,5,33087,80.08%,SPY,False,SPY,193.94,2016-01-13
SPY161216C00015000,15.0,2016-12-16,call,191.0,178.87,179.73,0.0,0.00%,390,0,117.38%,SPY,False,SPY,193.94,2016-01-13
SPY161216P00015000,15.0,2016-12-16,put,0.02,0.0,0.04,0.0,0.00%,100,8411,89.84%,SPY,False,SPY,193.94,2016-01-13
SPY171215C00015000,15.0,2017-12-15,call,191.0,178.2,180.76,0.0,0.00%,65,0,88.57%,SPY,False,SPY,193.94,2016-01-13
SPY171215P00015000,15.0,2017-12-15,put,0.04,0.0,0.09,0.0,0.00%,10,1546,67.58%,SPY,False,SPY,193.94,2016-01-13
SPY161216C00020000,20.0,2016-12-16,call,174.07,173.87,174.73,0.0,0.00%,0,0,103.42%,SPY,False,SPY,193.94,2016-01-13
SPY161216P00020000,20.0,2016-12-16,put,0.02,0.0,0.04,0.0,0.00%,100,18706,79.69%,SPY,False,SPY,193.94,2016-01-13
SPY171215P00020000,20.0,2017-12-15,put,0.06,0.0,0.1,0.0,0.00%,5,1121,60.55%,SPY,False,SPY,193.94,2016-01-13
SPY161216P00025000,25.0,2016-12-16,put,0.02,0.0,0.05,0.0,0.00%,15,2703,73.44%,SPY,False,SPY,193.94,2016-01-13
SPY171215P00025000,25.0,2017-12-15,put,0.13,0.0,0.12,0.0,0.00%,0,1060,55.47%,SPY,False,SPY,193.94,2016-01-13
SPY161216P00030000,30.0,2016-12-16,put,0.03,0.0,0.05,0.0,0.00%,40,5032,66.80%,SPY,False,SPY,193.94,2016-01-13
SPY171215P00030000,30.0,2017-12-15,put,0.1,0.0,0.13,0.0,0.00%,200,891,50.88%,SPY,False,SPY,193.94,2016-01-13
SPY161216P00035000,35.0,2016-12-16,put,0.04,0.0,0.06,0.0,0.00%,100,6249,62.11%,SPY,False,SPY,193.94,2016-01-13
