,Date,Close
27,2016-01-15,187.809998
26,2016-01-14,191.929993
25,2016-01-13,188.830002
24,2016-01-12,193.66000400000001
23,2016-01-11,192.110001
22,2016-01-08,191.919998
21,2016-01-07,194.050003
20,2016-01-06,198.820007
19,2016-01-05,201.360001
18,2016-01-04,201.020004
17,2015-12-31,203.869995
16,2015-12-30,205.929993
15,2015-12-29,207.399994
14,2015-12-28,205.21000700000002
13,2015-12-24,205.679993
12,2015-12-23,206.020004
11,2015-12-22,203.5
10,2015-12-21,201.669998
9,2015-12-18,200.020004
8,2015-12-17,204.860001
7,2015-12-16,208.029999
6,2015-12-15,205.029999
5,2015-12-14,202.899994
4,2015-12-11,201.880005
3,2015-12-10,205.869995
2,2015-12-09,205.33999599999999
1,2015-12-08,206.949997
0,2015-12-07,208.350006
